,Predict1.0,Real1.0,Predict2.0,Real2.0,Predict3.0,Real3.0,Predict4.0,Real4.0,Predict5.0,Real5.0,Predict6.0,Real6.0,Predict7.0,Real7.0,Predict8.0,Real8.0,Predict9.0,Real9.0,Predict9.5,Real9.5,Predict9.7,Real9.7
0,0.077286884,0.06818182,0.057720564,0.025,-0.10185747,0.075,0.10062208,0.05,0.058538057,0.125,0.016095936,0.125,-0.047319084,0.1,0.0068640113,0.09090909,0.18783692,0.23809524,0.1810255,0.0952381,0.32530183,0.18181819
1,-0.0015889406,0.022727273,0.093130976,0.075,-0.034206137,0.025,0.025073081,0.05,0.16666657,0.075,0.0893085,0.075,-0.00089609623,0.125,-0.03891036,0.09090909,0.08860803,0.04761905,0.17010523,0.1904762,-0.009257436,0.27272728
2,0.0062443167,0.06818182,0.094961464,0.075,-0.013567463,0.025,0.07832585,0.125,0.21056971,0.1,0.019585714,0.05,0.14886457,0.075,0.01767534,0.09090909,0.019275047,0.04761905,-0.099758804,0.14285715,0.24263406,0.45454547
3,0.08736484,0.09090909,0.09203684,0.1,0.022344396,0.025,0.060341448,0.1,0.041156925,0.125,0.14350033,0.15,0.024946988,0.1,0.15463838,0.045454547,-0.083496116,0.14285715,0.25801966,0.04761905,0.36758864,0.18181819
4,0.30964094,0.3181818,0.101920724,0.05,0.20101444,0.125,0.33568165,0.2,0.014187172,0.1,0.2284482,0.2,0.075507194,0.1,0.07106018,0.045454547,-0.011240475,0.0952381,0.29261395,0.33333334,0.2852981,0.09090909
5,0.17171599,0.11363637,0.18561214,0.225,0.15375681,0.2,0.13874632,0.05,0.07959225,0.1,0.05483587,0.025,0.22985446,0.25,0.13994125,0.22727273,0.6210263,0.5714286,0.29699886,0.2857143,-0.025124341,0.27272728
6,0.6919149,1.0,0.080632925,0.1,0.27223402,0.2,0.12059404,0.15,0.26594317,0.2,0.07376999,0.1,0.21939796,0.225,0.20507869,0.36363637,0.24266833,0.2857143,0.2689348,0.3809524,0.47566533,0.54545456
7,0.036991358,0.045454547,0.11917889,0.15,0.18655618,0.25,0.16627817,0.125,0.20682481,0.075,0.09763351,0.05,0.051136136,0.05,0.14742303,0.09090909,0.23026094,0.0952381,0.2876513,0.0952381,0.40799755,0.18181819
8,0.38251883,0.3181818,0.2697048,0.25,0.69479865,1.1,0.19488439,0.125,0.08198423,0.125,0.061539605,0.05,0.4379663,0.7,0.5918516,0.36363637,0.21910426,0.23809524,0.28764442,0.23809524,0.7616273,0.6363636
9,0.20472272,0.09090909,0.3922182,0.35,0.14854048,0.15,0.30614787,0.4,0.12481897,0.125,0.045602053,0.025,0.30609816,0.3,0.83163106,1.2727273,0.2323305,0.0952381,0.29571584,0.04761905,0.31670332,0.18181819
10,0.13385667,0.13636364,0.12888625,0.15,0.23825426,0.35,0.07397905,0.025,0.1489872,0.125,0.3763696,0.3,0.36998343,0.45,0.13601398,0.13636364,0.31081015,0.23809524,0.3333529,0.3809524,1.0617902,0.6363636
11,0.15892278,0.1590909,0.33195665,0.225,0.17024134,0.175,0.11767092,0.15,0.032022856,0.025,0.32777846,0.325,0.61319524,0.975,0.42097452,0.45454547,0.13947612,0.0952381,0.3081473,0.2857143,0.3794511,0.09090909
12,0.4562903,0.47727272,0.77924013,1.0,0.3116228,0.15,0.16948554,0.175,0.25083795,0.125,0.07449016,0.1,0.2055496,0.25,0.056039184,0.09090909,0.23428139,0.3809524,0.32953435,0.1904762,0.15625873,0.27272728
13,0.1426387,0.1590909,0.15081725,0.175,0.256204,0.15,0.26814485,0.175,0.09313733,0.2,0.15308379,0.1,-0.0040595233,0.05,0.3083988,0.59090906,0.3174632,0.2857143,0.312994,0.42857143,0.6366901,0.6363636
14,0.28461355,0.22727273,0.12849334,0.175,0.14098106,0.1,0.2585194,0.25,0.39733103,0.075,0.19363691,0.2,0.15234298,0.1,0.21284565,0.18181819,0.45057675,0.2857143,0.36036256,0.3809524,0.46302152,0.54545456
15,0.38548762,0.27272728,0.287303,0.175,0.29936516,0.225,0.12534276,0.1,0.46193984,0.5,0.21950923,0.15,0.11830568,0.175,0.33873132,0.18181819,0.34981582,0.33333334,0.3362394,0.0952381,0.7720169,2.0
16,0.10081701,0.11363637,0.302654,0.225,0.36405474,0.25,0.11928317,0.125,0.67593104,1.1,0.12446703,0.05,0.33932483,0.3,0.46181217,0.54545456,0.525164,0.6666667,0.27080056,0.33333334,0.67928886,0.54545456
17,0.26998246,0.38636363,0.5568639,0.7,0.053796113,0.05,0.25213122,0.15,0.15295309,0.125,0.08469984,0.025,0.24425131,0.325,0.16711023,0.09090909,0.41262496,0.2857143,0.33616373,0.0952381,0.6252268,0.54545456
18,0.10401972,0.045454547,0.09063482,0.05,0.09294151,0.05,0.26265174,0.125,0.25339597,0.4,0.1428001,0.05,0.12931845,0.125,0.396441,0.27272728,0.51490027,0.7619048,0.27436665,0.33333334,0.42431825,0.54545456
19,0.100764915,0.045454547,0.23162596,0.3,0.058503762,0.025,0.10563201,0.05,0.09271818,0.075,0.24381335,0.2,0.39008552,0.7,-0.02462089,0.045454547,0.37497574,0.2857143,0.30862007,0.2857143,0.07738802,0.09090909
20,0.42387182,0.4090909,0.4270898,0.3,0.37426084,0.425,0.18198428,0.125,0.18560085,0.1,0.32908708,0.325,0.05177653,0.025,0.120562404,0.09090909,0.6054978,0.5714286,0.3324666,0.33333334,0.14764261,0.18181819
21,0.109558955,0.09090909,0.108460635,0.1,0.19317551,0.175,0.27381033,0.425,0.16174161,0.125,0.4431061,0.4,0.14941883,0.15,0.018843561,0.045454547,0.23285621,0.14285715,0.3390124,0.0952381,0.40430415,0.18181819
